Player Name,Position,Team,Rookie,SFValue,Value
Chris Rodriguez,RB,JAC,No,2633,3249
Pat Bryant,WR,DEN,No,2631,3285
Caleb Douglas,WR,MIA,Yes,2625,2963
Adonai Mitchell,WR,NYJ,No,2624,3231
Tank Bigsby,RB,PHI,No,2618,3267
Isaac TeSlaa,WR,DET,No,2608,3179
Tank Dell,WR,HOU,No,2607,3143
Mark Andrews,TE,BAL,No,2605,3194
Ricky Pearsall,WR,SFO,No,2604,3198
Kayshon Boutte,WR,NEP,No,2601,3192
Dontayvion Wicks,WR,PHI,No,2596,3145
Dallas Goedert,TE,PHI,No,2570,3180
2027 Early 3rd,PI,PICK,No,2555,3137
Travis Kelce,TE,KCC,No,2548,3066
Jaylin Noel,WR,HOU,No,2547,3119
Mike Washington Jr.,RB,LVR,Yes,2545,3008
Emmett Johnson,RB,KCC,Yes,2542,3151
Tre Tucker,WR,LVR,No,2535,3054
Gunnar Helm,TE,TEN,No,2532,3031
Kaytron Allen,RB,WAS,Yes,2529,3063
Tory Horton,WR,SEA,No,2518,3109
Tyrone Tracy,RB,NYG,No,2513,3085
Shedeur Sanders,QB,CLE,No,2511,2359
Jalen Nailor,WR,LVR,No,2509,3040
Jacoby Brissett,QB,ARI,No,2489,2063
Mac Jones,QB,SFO,No,2480,2116
Troy Franklin,WR,DEN,No,2479,3098
Tyjae Spears,RB,TEN,No,2472,3112
Drew Allar,QB,PIT,Yes,2462,233
2026 Early 3rd,PI,PICK,No,2461,2861
T.J. Hockenson,TE,MIN,No,2460,3008
2027 Mid 3rd,PI,PICK,No,2449,2889
Tua Tagovailoa,QB,ATL,No,2448,2337
Eli Raridon,TE,NEP,Yes,2427,2709
Elic Ayomanor,WR,TEN,No,2404,2999
Deebo Samuel,WR,SFO,No,2382,2869
Hunter Henry,TE,NEP,No,2369,2805
Juwan Johnson,TE,NOS,No,2363,2752
Elijah Arroyo,TE,SEA,No,2360,2832
Jerry Jeudy,WR,CLE,No,2354,2895
Jaydon Blue,RB,DAL,No,2330,2838
Demond Claiborne,RB,MIN,Yes,2322,2811
Chris Brazzell II,WR,CAR,Yes,2321,2833
MarShawn Lloyd,RB,GBP,No,2309,2912
Keon Coleman,WR,BUF,No,2297,2847
Jack Bech,WR,LVR,No,2282,2836
Aaron Jones,RB,MIN,No,2280,2765
Mason Taylor,TE,NYJ,No,2280,2744
J.J. McCarthy,QB,MIN,No,2271,1983
Brian Robinson,RB,ATL,No,2251,2793
Jauan Jennings,WR,MIN,No,2249,2776
2026 Mid 3rd,PI,PICK,No,2235,2592
Kaelon Black,RB,SFO,Yes,2235,2659
Ollie Gordon,RB,MIA,No,2227,2784
Skyler Bell,WR,BUF,Yes,2220,2757
2027 Late 3rd,PI,PICK,No,2216,2736
Cade Otton,TE,TBB,No,2209,2614
